21 16
1	9	9	9	805	805	805	805	805	11	805	11	400	805	805	805
9	2	9	9	805	805	805	805	805	11	805	11	400	805	805	805
9	9	3	9	805	6	805	805	805	11	805	11	400	805	805	805
9	9	9	4	805	805	805	805	805	11	11	11	400	805	805	805
9	5	9	9	805	805	805	805	805	11	805	11	400	805	805	805
10	9	9	9	805	805	7	805	805	11	805	11	400	805	805	805
9	9	9	9	805	805	805	8	805	11	805	11	400	805	805	805
9	9	9	9	805	805	805	805	805	11	805	11	400	805	805	805
9	9	9	9	805	805	805	805	805	11	805	11	400	805	805	805
13	300	802	802	100	805	802	802	200	300	803	805	400	805	805	805
502	300	802	802	100	805	802	802	200	300	803	805	400	805	805	805
14	300	802	802	100	805	802	802	200	300	803	805	400	805	510	805
504	300	802	802	100	805	802	802	200	300	803	805	400	805	805	805
505	300	802	802	100	805	802	802	200	300	803	805	400	805	805	805
506	300	802	802	100	805	802	802	200	300	803	805	400	805	805	805
507	300	802	802	100	805	802	802	200	300	803	805	400	805	805	805
805	300	802	802	100	805	802	802	200	300	803	805	400	508	805	805
15	300	802	802	100	805	802	802	200	300	803	805	400	805	805	509
600	300	802	802	100	805	802	802	200	300	803	805	400	805	805	805
11	802	802	802	802	805	802	802	802	300	804	12	400	805	805	805
0	802	802	802	100	805	802	802	200	300	804	805	400	805	805	805
